name,port,node,address,netmask,vserver,destination,gateway,role
ic_lif1,e0g,cluster1-01,192.168.0.220,255.255.255.0,cluster1,0.0.0.0/0,192.168.0.1,intercluster
ic_lif2,e0g,cluster1-02,192.168.0.211,255.255.255.0,cluster1,0.0.0.0/0,192.168.0.1,intercluster
